,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,41.48,77.10,77.60,76.20,76.89,22.00,41.48
CNN+LSTM,40.21,53.24,91.97,7.10,13.18,0.62,40.21
RNN+LSTM,100.00,50.12,92.86,0.26,0.52,0.02,100.00
GRU+LSTM,100.00,68.10,98.60,36.72,53.51,0.52,100.00
SVM,99.28,50.15,67.44,0.58,1.15,0.28,99.28
Random Forest,100.00,71.31,77.49,0.81,1.60,0.10,100.00
XGBoost,100.00,49.98,37.50,0.06,0.12,0.10,100.00
V-Detector,8.69,53.29,73.88,10.18,17.89,3.60,8.69
DGA-PSO,26.33,54.61,60.99,25.58,36.04,16.36,26.33
MDGWO-NSA,0.00,44.45,38.84,19.32,25.80,30.42,0.00
