,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,79.70,77.63,80.49,72.94,76.53,17.68,79.70
CNN+LSTM,2.68,50.94,92.73,2.04,3.99,0.16,2.68
RNN+LSTM,0.39,49.99,44.44,0.08,0.16,0.10,0.39
GRU+LSTM,0.34,49.99,42.86,0.06,0.12,0.08,0.34
SVM,0.81,53.25,98.22,6.62,12.40,0.12,0.81
Random Forest,28.21,70.30,98.66,41.16,58.09,0.56,28.21
XGBoost,28.89,49.95,35.29,0.12,0.24,0.22,28.89
V-Detector,10.90,51.02,58.76,6.84,12.25,4.80,10.90
DGA-PSO,21.09,48.16,44.24,14.14,21.43,17.82,21.09
MDGWO-NSA,0.00,44.45,38.84,19.32,25.80,30.42,0.00
